"dept_name","emp_no","last_name","first_name"
"Development",13616,"Lorho","Perry"
"Development",35916,"Talmon","Wonhee"
"Sales",444985,"Verspoor","Giap"
"Development",492723,"Sanella","Piyawadee"
"Development",430653,"Peroz","Masoud"
"Development",222134,"Speer","Qunsheng"
"Development",406318,"Gunderson","Hitomi"
"Sales",42625,"Swick","Harngdar"
"Development",225842,"Schmezko","Bowen"
"Sales",205366,"Shimshoni","Kazuhira"
"Development",223670,"Chinin","Erez"
"Development",62117,"Crouzet","Bojan"
"Sales",11980,"Pews","Yechezkel"
"Sales",457800,"Domenig","Stabislas"
"Sales",109600,"Chvatal","Xuejun"
"Development",98882,"Vanwelkenhuysen","Yishay"
"Development",439788,"Setia","Irene"
"Development",207791,"Schmittgen","Jahangir"
"Development",205714,"Ellozy","Anwar"
"Development",423740,"Bardell","Jaroslava"
"Development",260402,"Bach","Kwok"
"Sales",279559,"Cronan","Jasminko"
"Sales",470413,"Poehlman","Uzi"
"Development",486568,"Pappas","Kiam"
"Development",208208,"Delgrossi","Jianhua"
"Development",435490,"Covnot","Zhensheng"
"Development",279067,"Rajaraman","Szabolcs"
"Development",441170,"Munck","Shir"
"Development",459062,"Delgrange","Suvo"
"Development",64385,"Poujol","Lokesh"
"Sales",210276,"Braunmuhl","Nidapan"
"Sales",244316,"Kuszyk","Khun"
"Sales",255456,"Tibblin","Aleksandar"
"Sales",404690,"Morton","Hidde"
"Sales",285589,"Frolund","Uta"
"Development",213776,"McAlpine","Hongzhu"
"Development",290340,"Stille","Morrie"
"Sales",418656,"Egerstedt","Aluzio"
"Sales",432752,"Birrer","Huai"
"Sales",238234,"Murtha","Bernice"
"Development",451314,"Demizu","Fuqing"
"Sales",261707,"Gurbaxani","Chenye"
"Sales",80837,"Tempesti","Nigel"
"Development",405029,"Karlin","Stevo"
"Development",75099,"Vandervoorde","Arunas"
"Development",29239,"Rosca","Nagui"
"Development",277149,"Spinelli","Kellie"
"Sales",251732,"Fortenbacher","Junsik"
"Sales",66872,"Itschner","Herbert"
"Development",45381,"McFarlan","Masaki"
